id_client,id,product,place_purchase,gross_price,net_price,timestamp
f3afea952b2a40109df9ba1145d8376c-104,3908,Z,web,11498,9314,"Thu, 20 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3907,Z,tienda-1,13455,10899,"Sat, 22 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3906,Z,tienda-3,12685,10275,"Sun, 23 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3905,Z,tienda-1,12132,9827,"Wed, 19 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3904,Y,tienda-1,70486,57094,"Tue, 18 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3903,Z,tienda-2,14530,11770,"Thu, 27 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3902,X,tienda-2,132041,106954,"Fri, 07 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3901,Z,tienda-2,14519,11761,"Thu, 20 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3900,Z,tienda-2,12774,10347,"Sun, 23 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3899,X,tienda-2,145340,117726,"Sat, 08 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3898,X,tienda-2,99498,80594,"Mon, 10 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3897,X,tienda-2,104802,84890,"Thu, 13 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3896,X,tienda-2,131041,106144,"Sat, 01 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3895,Z,tienda-3,12332,9989,"Mon, 24 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3894,Z,tienda-1,9151,7413,"Thu, 27 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3893,X,tienda-3,114696,92904,"Tue, 18 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3892,Z,tienda-1,9001,7291,"Thu, 20 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3891,Z,tienda-1,15466,12528,"Tue, 25 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3890,Z,tienda-1,11117,9005,"Sat, 15 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3889,Z,tienda-3,11169,9047,"Sat, 15 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3888,Z,tienda-1,12397,10042,"Tue, 18 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3887,Z,tienda-1,9861,7988,"Fri, 21 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3886,Z,tienda-2,13837,11208,"Sat, 15 Jan 2022 00:00:00 GMT"
f3afea952b2a40109df9ba1145d8376c-104,3885,Z,tienda-1,10100,8181,"Sat, 22 Jan 2022 00:00:00 GMT"
